,Gene name,Log2(Fold expression) (ATXN1[82Q] vs. WT),Fold Expression (ATXN1[82Q] vs. WT)
0,1110015O18Rik,-1.403244206,0.378077996
1,1500015O10Rik,-0.559809945,0.678391526
2,1700001L19Rik,-0.977747395,0.50777195
3,1810041L15Rik,-0.396886537,0.759495575
4,2010204K13Rik,-1.472390039,0.360384773
5,2310003H01Rik,-0.487530851,0.71324476
6,2310015B20Rik,0.922927587,1.895958764
7,2410004P03Rik,-0.882252067,0.542519889
8,2410124H12Rik,-1.86540103,0.274446904
9,2610203C20Rik,-0.457483315,0.728255544
10,2700070H01Rik,0.766933357,1.701648852
11,2900052N01Rik,-1.314989047,0.401928547
12,4930447C04Rik,-1.554338318,0.340484654
13,4930503E14Rik,-1.477634031,0.359077203
14,4930529M08Rik,-1.613330674,0.326842914
15,4930539E08Rik,-2.563679891,0.169143555
16,4932411E22Rik,-1.959898599,0.257046523
17,6030419C18Rik,-0.344790086,0.787422539
18,6330403K07Rik,-0.908864946,0.532603958
19,6430573F11Rik,0.34037564,1.266086207
20,9630028H03Rik,-1.297947654,0.406704355
21,A330050F15Rik,-0.318850018,0.801708671
22,A330074K22Rik,-0.44160767,0.736313639
23,A730017C20Rik,-1.039234079,0.486585732
24,A730090H04Rik,-0.63431047,0.644248657
25,A830018L16Rik,-0.464745597,0.724598841
26,AI854517,-0.400636417,0.757524042
27,AK129341,-0.724201486,0.605331996
28,Ablim2,-0.313912348,0.804457245
29,Abr,-0.290668681,0.817523053
30,Acan,-0.809520869,0.570571318
31,Ace,-0.441852921,0.73618848
32,Acot5,-1.570275317,0.336744125
33,Adam23,-0.462276439,0.725840046
34,Adamts18,0.407551568,1.326432782
35,Adamts20,-0.581896644,0.6680849
36,Adamts3,-0.315956569,0.80331818
37,Adamtsl2,-0.76699538,0.587640046
38,Adcyap1,-1.886498211,0.270462745
39,Adprhl1,-1.540062529,0.34387055
40,Adra2b,-1.610644114,0.327452122
41,Adrb1,-0.852662686,0.553761751
42,Afap1l2,0.308994195,1.238843713
43,Agfg2,-0.41778494,0.748573073
44,Ajap1,-0.434048142,0.740181949
45,Ak4,0.403375663,1.322598951
46,Ak7,-0.906619957,0.533433392
47,Akap2,-0.406019593,0.754702735
48,Alk,-0.93264417,0.523897263
49,Amz1,-0.669418635,0.628760009
50,Ankrd33b,-0.500190046,0.70701364
51,Ankrd34c,-2.360928896,0.194665767
52,Anks1b,-0.448805295,0.732649308
53,Aqp1,-0.798154258,0.575084453
54,Arhgap20,-0.51428188,0.70014135
55,Arhgap31,-0.2748713,0.826524048
56,Arhgap32,-0.277444791,0.825051002
57,Arhgap36,-2.860693352,0.137671959
58,Arhgap5,-0.305224951,0.809316015
59,Arhgap6,-0.87591394,0.54490856
60,Arhgdig,-0.788586401,0.57891105
61,Arhgef33,-0.898035633,0.536616889
62,Arid5a,0.378650988,1.300125586
63,Armc3,-0.95583019,0.515544837
64,Arntl,0.308033111,1.238018704
65,Asah2,-0.434125465,0.740142279
66,Asb4,-1.491933988,0.35553562
67,Asic4,-2.710348699,0.1527931
68,Atf3,1.054977145,2.077685292
69,Atl2,-0.624443529,0.648669932
70,Atp2a3,-0.802359081,0.573410775
71,B230209E15Rik,-1.897352417,0.268435537
72,B3gat1,-0.409598961,0.752832616
73,B3gnt2,-0.473558942,0.720185799
74,B3gnt5,-0.42335578,0.745688098
75,Baiap2,-0.287082313,0.819557846
76,Baiap3,-3.822786415,0.070668622
77,Basp1,-1.261674748,0.417059536
78,Bcar1,-0.587433828,0.665525649
79,Bcl11b,-0.94161125,0.520651075
80,Bcl2,-0.353620214,0.782617777
81,Bcl6,0.700522655,1.62509342
82,Bdnf,0.365507694,1.288334923
83,Bean1,-0.646405611,0.638870039
84,Begain,-0.499570874,0.70731714
85,Bmf,0.375084074,1.296915131
86,Brpf3,0.311419261,1.240927871
87,C130021I20Rik,-1.743138544,0.298719113
88,C1ql4,#NUM!,0
89,C3,-0.981828758,0.5063375
90,Cacna1c,0.356607481,1.280411448
91,Cacna1g,-0.652486175,0.636183043
92,Cacna1h,-0.68403908,0.622420257
93,Cacna1i,0.401838957,1.321190917
94,Cacna2d2,-0.301994885,0.811130031
95,Cacnb2,-0.545705368,0.68505638
96,Calb1,-0.651535524,0.636602389
97,Calca,-1.671028407,0.314029412
98,Calcr,-1.398017706,0.379450156
99,Camk2a,-0.816483352,0.56782436
100,Camkv,-1.637934131,0.321316254
101,Car12,-0.449464936,0.732314397
102,Car4,0.403788423,1.322977406
103,Car8,-0.765611557,0.588203976
104,Cartpt,-3.997789426,0.062595839
105,Casp3,0.708872286,1.634525955
106,Cast,-0.467687833,0.723122598
107,Cbln2,-4.978429792,0.031720739
108,Cbln4,-2.119547065,0.230119147
109,Ccdc108,-1.416764659,0.374551328
110,Ccdc135,-0.906599188,0.533441071
111,Ccdc153,-0.98712173,0.504483248
112,Ccdc170,-1.620085102,0.325316273
113,Ccdc50,-0.324448241,0.798603754
114,Ccdc85a,-0.407625406,0.753863169
115,Cck,-1.096549033,0.467633752
116,Cckbr,-0.859216657,0.551251791
117,Ccl3,1.827442209,3.549072902
118,Ccnd1,0.372052103,1.294192393
119,Ccng2,0.286241449,1.219459165
120,Ccno,-1.271481078,0.414234299
121,Cd24a,-0.472185007,0.720871987
122,Cd55,-0.548424205,0.68376657
123,Cd68,0.82390712,1.770193561
124,Cd82,-0.341966547,0.788965135
125,Cdh13,-0.571254917,0.673031103
126,Cdh15,0.441834957,1.358330884
127,Cdh9,-0.987167995,0.504467071
128,Cdhr1,-3.060129688,0.119897237
129,Cdhr3,-0.999728353,0.500094155
130,Cdkl4,-1.025012953,0.491405887
131,Cdkn1a,0.372028291,1.294171033
132,Celf6,-0.61686365,0.652086994
133,Cemip,0.381187004,1.302412999
134,Cep72,-0.76541023,0.588286066
135,Cep76,-0.961613006,0.513482493
136,Chd5,-0.418529132,0.748187033
137,Chn1,-0.524143344,0.695371891
138,Chrdl1,-0.482750204,0.715612154
139,Chrm3,-1.208527607,0.432710008
140,Chrna4,-0.892487551,0.538684496
141,Chst15,0.303462559,1.234102786
142,Chst8,-0.656618924,0.634363239
143,Chsy3,-1.680702822,0.31193064
144,Ciart,-0.647277521,0.638484047
145,Cldn1,-1.085636298,0.471184407
146,Cldn11,-0.423819527,0.745448439
147,Cldn2,-0.751214828,0.59410308
148,Clic6,-0.938658341,0.521717835
149,Clmn,-0.727486625,0.603955172
150,Clstn2,-0.51100171,0.701735031
151,Cmip,-0.297876667,0.813448735
152,Cnih3,-0.810231948,0.570290163
153,Cnksr1,1.1866251,2.276196486
154,Cnksr3,0.357591881,1.281285414
155,Cnnm4,0.357234563,1.280968113
156,Cntn3,-0.393637987,0.761207675
157,Cntn6,0.295970039,1.227710187
158,Cntnap5a,-0.986796945,0.504596833
159,Cntnap5b,-0.877245556,0.544405839
160,Cobl,-1.26921032,0.414886805
161,Col11a1,-0.973782049,0.509169515
162,Col18a1,-0.951333562,0.517154207
163,Col25a1,-1.081598396,0.472505034
164,Col5a1,-1.213678917,0.431167721
165,Col8a1,-0.987187785,0.504460151
166,Colec10,#DIV/0!,#DIV/0!
167,Colq,1.004708055,2.006537411
168,Comp,0.495456771,1.40976703
169,Corin,-0.890770476,0.539326013
170,Cox6b2,-1.770383472,0.293130812
171,Cpeb1,-0.522147301,0.69633464
172,Cpm,-0.420553014,0.747138176
173,Cpne4,-0.99165645,0.502900032
174,Cpne5,-4.044952032,0.060582628
175,Cpne6,-1.086795189,0.470806065
176,Cpne7,-2.267880244,0.207634741
177,Cpne9,-0.428215463,0.743180492
178,Creb5,0.512289797,1.426312195
179,Creg1,-0.811427921,0.569817597
180,Creg2,-0.825967201,0.564103893
181,Crhbp,-3.402274042,0.094583082
182,Crhr2,-1.178153161,0.441916848
183,Crlf1,-0.940552651,0.521033251
184,Ctsl,-0.28577062,0.820303324
185,Cttnbp2,-0.349959333,0.784606214
186,Ctxn1,-0.952896594,0.51659422
187,Cyb561,-0.552063036,0.682044116
188,Cyp27a1,-0.662335846,0.631854442
189,Cyp51,-0.282125086,0.822378763
190,Cyth3,-0.450204823,0.731938925
191,D430019H16Rik,-0.911665876,0.531570933
192,D430036J16Rik,-0.842319696,0.557746053
193,D8Ertd82e,0.551955541,1.466071577
194,Dagla,-0.92636765,0.526181471
195,Dao,0.283470393,1.217119137
196,Dap,-1.131939557,0.456301861
197,Dbh,-2.435057408,0.18491608
198,Dbndd1,-0.454475944,0.729775213
199,Dbndd2,-0.269937515,0.829355466
200,Dbp,-0.383757749,0.766438667
201,Dcc,-0.856132523,0.552431495
202,Ddn,-1.234345949,0.425035147
203,Dgkh,-1.092689112,0.468886578
204,Dgkk,-4.334512597,0.049565751
205,Dgkz,-0.451143044,0.731463082
206,Dhcr24,-0.34089603,0.789550785
207,Dleu7,-1.396187654,0.379931792
208,Dlgap2,-1.178955004,0.441671301
209,Dlk1,-2.055489098,0.240567041
210,Dnah6,-0.540680529,0.687446559
211,Dner,-0.581392464,0.668318417
212,Doc2b,-1.018349901,0.493680682
213,Dock10,-0.309578942,0.806877216
214,Dock5,-0.382948028,0.766868955
215,Dok6,-0.785264637,0.580245511
216,Dpp10,-0.295263005,0.814923757
217,Drd2,-2.431583973,0.185361821
218,Dsg2,-1.256697344,0.418500907
219,Dtx4,0.310170017,1.239853804
220,Dusp5,0.363942642,1.286938081
221,Dusp8,0.282968736,1.216695992
222,Dysf,-0.749832797,0.594672474
223,Ebf2,-0.634204871,0.644295815
224,Efcab1,-1.207594939,0.432989835
225,Egr3,-1.688813034,0.31018202
226,Eif2s3x,-0.352519696,0.783215002
227,Elfn1,-1.609087112,0.327805709
228,Elfn2,-0.752073049,0.593749768
229,Eln,-0.533913746,0.690678516
230,En1,-0.767466222,0.587448293
231,Enc1,-1.09817911,0.467105679
232,Enkur,-0.815074848,0.568378998
233,Enpp2,-0.728328617,0.603602791
234,Entpd3,-0.754590888,0.592714441
235,Eomes,0.661419579,1.581638154
236,Epb4.1l4a,-0.795288622,0.576227883
237,Ephb2,0.347610802,1.272451618
238,Ephb6,-0.557489093,0.679483728
239,Epor,-0.940884698,0.520913345
240,Eps8l2,-0.505180802,0.704572073
241,Erbb3,-0.49831212,0.707934544
242,Erdr1,0.432133243,1.349227139
243,Erp29,-0.418623948,0.748137863
244,Espn,-0.950317819,0.517518443
245,Etl4,-0.374857235,0.771181723
246,Etnppl,-1.08659845,0.470870273
247,F2r,-0.454737749,0.729642794
248,F5,-1.000044669,0.499984519
249,Fa2h,-0.344740878,0.787449397
250,Fabp7,0.493872438,1.408219707
251,Fam107b,-1.114815242,0.461750285
252,Fam163b,-0.66428943,0.630999414
253,Fam167a,-0.682878747,0.62292106
254,Fam174b,-0.445586068,0.734285966
255,Fam19a1,-1.447634167,0.366622144
256,Fam19a2,-1.016056884,0.494465962
257,Fam19a3,-0.827616932,0.563459205
258,Fam21,-0.615259635,0.652812399
259,Fam212b,0.351691584,1.276055947
260,Fam216b,-1.071372565,0.47586605
261,Fam222a,-0.332314446,0.794261266
262,Fam46a,-0.633085435,0.64479594
263,Fam65b,-0.460260743,0.72685488
264,Fam69b,-0.30677241,0.808448394
265,Fbln7,-0.745659095,0.596395346
266,Fbxo32,-0.356914086,0.780832991
267,Fgd3,-0.496178293,0.708982394
268,Fgf11,-0.46720214,0.723366083
269,Fgf18,-0.899312419,0.536142193
270,Fgf7,-1.613618819,0.326777641
271,Fibcd1,-2.00545014,0.249057344
272,Fkbp5,-0.398760148,0.758509866
273,Fmo2,-0.823161776,0.565201901
274,Fnbp1l,-0.331981338,0.794444677
275,Folr1,-1.022780821,0.492166777
276,Fos,0.821688102,1.767472908
277,Fosl2,0.863933263,1.819993456
278,Foxb1,-1.648203231,0.319037247
279,Foxj1,-0.535311864,0.690009503
280,Foxo3,0.277327638,1.211947864
281,Foxp4,-0.384831183,0.765868612
282,Fras1,-0.594884666,0.662097383
283,Frmd6,0.723538751,1.651227326
284,Fst,1.460963694,2.752921924
285,Fstl1,-0.334132798,0.793260821
286,Gabbr1,-0.646100663,0.639005094
287,Gabbr2,-0.496864327,0.708645337
288,Gabra3,-0.481541775,0.716211816
289,Gabra5,-2.140679665,0.226772929
290,Gabrq,-4.873095392,0.034123386
291,Gal3st3,-0.318278366,0.802026401
292,Galnt14,-0.74953403,0.594795637
293,Galnt15,0.55723943,1.471450928
294,Galr1,1.158250298,2.231865825
295,Garnl3,-0.699976814,0.6155821
296,Gata3,-2.947430292,0.129638821
297,Gchfr,-2.464315799,0.181203685
298,Gcnt1,0.995703416,1.994052531
299,Gda,-3.225276673,0.10692887
300,Gdf11,-0.530444251,0.692341507
301,Gfap,0.357039621,1.280795035
302,Gfra1,-0.620705278,0.650352917
303,Glcci1,0.279621457,1.213876339
304,Glra1,-1.761615938,0.294917648
305,Glra2,-0.768571079,0.586998581
306,Glra3,-2.927193258,0.13147011
307,Gm14446,-1.367295999,0.387617067
308,Gm16532,-0.920194943,0.528437611
309,Gm5083,-0.756298096,0.592013469
310,Gm6644,-0.721602312,0.606423551
311,Gm973,-1.242183347,0.422732417
312,Gm9866,-0.742770059,0.59759084
313,Gng13,-1.286084192,0.410062525
314,Gng4,-1.770762384,0.293053834
315,Gpc5,-0.652766436,0.636059469
316,Gpr101,-0.868915038,0.547558481
317,Gpr158,0.339910366,1.265677956
318,Gpr165,-1.17646701,0.44243364
319,Gpr26,-1.261603941,0.417080006
320,Gpr63,-1.095362536,0.4680185
321,Gpr83,-1.143203016,0.452753276
322,Gprc5c,0.352760167,1.277001454
323,Gpx3,-1.333753028,0.396734832
324,Greb1,-0.789490527,0.578548364
325,Grem2,-1.031876916,0.48907346
326,Grid2,-0.488129656,0.712948783
327,Grid2ip,-1.090278019,0.469670856
328,Grik1,-0.6018017,0.658930541
329,Grip2,-0.477153109,0.718393843
330,Grm5,-1.135204957,0.455270234
331,Grp,-1.985972946,0.252442558
332,Gsn,-0.324425804,0.798616174
333,H2-D1,-0.399206699,0.758275125
334,Hap1,-0.431935071,0.741266865
335,Hcrtr2,-1.043478985,0.485156133
336,Hdc,-0.76363585,0.589010048
337,Hif3a,-1.177451857,0.442131719
338,Hist1h3i,#DIV/0!,#DIV/0!
339,Hmgcs1,-0.304702683,0.809609047
340,Hmgcs2,0.466451179,1.381706486
341,Homer3,-0.654075751,0.635482477
342,Hpcal1,-0.718806204,0.607600009
343,Hpcal4,-0.411042258,0.752079846
344,Hr,0.326736696,1.254173286
345,Hrh3,-1.08344977,0.471899069
346,Hrk,0.801557941,1.742982327
347,Hs3st1,0.350050083,1.274604874
348,Hs3st3b1,-1.085468078,0.471239351
349,Hs3st4,-2.016168185,0.247213908
350,Hspa12a,-0.37822057,0.769385971
351,Htr1a,-2.154064608,0.22467872
352,Htr2c,-1.823747635,0.282486214
353,Htr7,-1.526285572,0.347170057
354,Icmt,-0.651524183,0.636607393
355,Id2,-0.48815935,0.712934109
356,Ier3,-0.779532306,0.582555616
357,Ifrd1,0.299207742,1.230468515
358,Igdcc3,0.620446972,1.537351405
359,Igfbp5,-0.564989189,0.675960482
360,Igsf1,-0.766351262,0.587902467
361,Igsf21,0.359824811,1.283270058
362,Il16,0.28569503,1.218997384
363,Il1rap,-0.395138292,0.760416482
364,Iltifb,-0.53187132,0.691657003
365,Impg2,-1.014063808,0.495149536
366,Ing3,0.309455369,1.239239787
367,Inpp4a,-0.391810663,0.762172435
368,Inpp5a,-0.58773647,0.665386052
369,Insig1,-0.274638973,0.826657159
370,Insm1,-1.001353775,0.499531037
371,Ipo5,-0.347753772,0.78580662
372,Iqca,-0.996955489,0.501056261
373,Irs2,0.365399188,1.28823803
374,Itgb1bp1,-0.414825955,0.750109982
375,Itpka,-0.797615713,0.575299167
376,Jup,0.339048885,1.264922403
377,Kalrn,-0.742695949,0.597621539
378,Kank2,0.286829084,1.219955974
379,Kank4,-0.459357622,0.72731003
380,Kcna4,-0.656029138,0.634622626
381,Kcna6,-0.502756783,0.705756892
382,Kcnab1,-0.588346218,0.665104889
383,Kcnc2,-1.576890403,0.335203611
384,Kcnc3,-0.382301684,0.767212598
385,Kcne2,-0.901918987,0.535174401
386,Kcnf1,-1.411636697,0.375885014
387,Kcng4,-0.451661138,0.731200449
388,Kcnh5,-1.124591975,0.458631714
389,Kcnip1,-0.644709545,0.639621551
390,Kcnip2,-1.175395668,0.442762313
391,Kcnj4,-1.222694049,0.428481836
392,Kcnj8,0.630832933,1.548458731
